day_of_week,start_station_name,member_casual,count_of_users,,,,,,,,,,,,
Saturday,Streeter Dr & Grand Ave,casual,1279,,Sum of count_of_users,Column Labels,,,,,,,,,
Sunday,Streeter Dr & Grand Ave,casual,1067,,Row Labels,Clark St & Armitage Ave,Dusable Harbor,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & North Blvd,Michigan Ave & Oak St,Millennium Park,Shedd Aquarium,Streeter Dr & Grand Ave,Theater on the Lake,Grand Total
Saturday,DuSable Lake Shore Dr & Monroe St,casual,861,,Sunday,,,681,634,681,640,,1067,539,4242
Monday,Streeter Dr & Grand Ave,casual,757,,Monday,,,,,,,,757,,757
Saturday,DuSable Lake Shore Dr & North Blvd,casual,737,,Tuesday,,,,,,,,600,,600
Friday,Streeter Dr & Grand Ave,casual,701,,Thursday,,,,558,,,,668,,1226
Saturday,Michigan Ave & Oak St,casual,696,,Friday,,,630,,,,,701,,1331
Sunday,Michigan Ave & Oak St,casual,681,,Saturday,534,584,861,737,696,582,623,1279,,5896
Sunday,DuSable Lake Shore Dr & Monroe St,casual,681,,Grand Total,534,584,2172,1929,1377,1222,623,5072,539,14052
Thursday,Streeter Dr & Grand Ave,casual,668,,,,,,,,,,,,
Sunday,Millennium Park,casual,640,,,,,,,,,,,,
Sunday,DuSable Lake Shore Dr & North Blvd,casual,634,,,,,,,,,,,,
Friday,DuSable Lake Shore Dr & Monroe St,casual,630,,,,,,,,,,,,
Saturday,Shedd Aquarium,casual,623,,,,,,,,,,,,
Tuesday,Streeter Dr & Grand Ave,casual,600,,,,,,,,,,,,
Saturday,Dusable Harbor,casual,584,,,,,,,,,,,,
Saturday,Millennium Park,casual,582,,,,,,,,,,,,
Thursday,DuSable Lake Shore Dr & North Blvd,casual,558,,,,,,,,,,,,
Sunday,Theater on the Lake,casual,539,,,,,,,,,,,,
Saturday,Clark St & Armitage Ave,casual,534,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
day_of_week,start_station_name,member_casual,count_of_users,,,,,,,,,,,,
Tuesday,Clinton St & Washington Blvd,member,1437,,Sum of count_of_users,Column Labels,,,,,,,,,
Thursday,Clinton St & Washington Blvd,member,1300,,Row Labels,Canal St & Adams St,Clark St & Elm St,Clinton St & Washington Blvd,Ellis Ave & 60th St,Kingsbury St & Kinzie St,Larrabee St & Kingsbury St,University Ave & 57th St,Grand Total,,
Wednesday,Clinton St & Washington Blvd,member,1298,,Monday,,,,,1090,,1085,2175,,
Tuesday,Kingsbury St & Kinzie St,member,1228,,Tuesday,958,1048,1437,1002,1228,974,1204,7851,,
Tuesday,University Ave & 57th St,member,1204,,Wednesday,,1000,1298,995,1124,981,1148,6546,,
Wednesday,University Ave & 57th St,member,1148,,Thursday,,1032,1300,,1021,,1059,4412,,
Wednesday,Kingsbury St & Kinzie St,member,1124,,Friday,,971,,,,,1019,1990,,
Monday,Kingsbury St & Kinzie St,member,1090,,Grand Total,958,4051,4035,1997,4463,1955,5515,22974,,
Monday,University Ave & 57th St,member,1085,,,,,,,,,,,,
Thursday,University Ave & 57th St,member,1059,,,,,,,,,,,,
Tuesday,Clark St & Elm St,member,1048,,,,,,,,,,,,
Thursday,Clark St & Elm St,member,1032,,,,,,,,,,,,
Thursday,Kingsbury St & Kinzie St,member,1021,,,,,,,,,,,,
Friday,University Ave & 57th St,member,1019,,,,,,,,,,,,
Tuesday,Ellis Ave & 60th St,member,1002,,,,,,,,,,,,
Wednesday,Clark St & Elm St,member,1000,,,,,,,,,,,,
Wednesday,Ellis Ave & 60th St,member,995,,,,,,,,,,,,
Wednesday,Larrabee St & Kingsbury St,member,981,,,,,,,,,,,,
Tuesday,Larrabee St & Kingsbury St,member,974,,,,,,,,,,,,
Friday,Clark St & Elm St,member,971,,,,,,,,,,,,
Tuesday,Canal St & Adams St,member,958,,,,,,,,,,,,
